rank,chart,version,user_status,chart_use_answer,first_base,catalog_path,current_proof,proof_lane_rows,proof_lane_summary,variant_revisions,recipe_paths,package_paths,coverage_status,coverage_evidence,hooks_route,hooks_evidence,quirks,quirk_route,quirk_evidence,runtime_gitops_results,runtime_gitops_receipts,gitops_health_residue,gitops_health_residue_evidence,live_compare_receipts,production_decisions,production_decision_paths,top500_route,user_must_provide,routed_or_absorbed,next_action
70,aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,needs-better-base-variant,not-yet-user-ready,default,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default,default render=pass confighub=pass local=fail gitops=missing live-parity=missing two-cluster=missing,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/revisions/default/r001/variant-revision.yaml,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1,packages/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1,partial,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/source-lock.yaml;recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/CATALOG.md;recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/revisions/default/r001/variant-revision.yaml;recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/helm-pain-report.yaml;recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/value-model.yaml;recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/helm-plan.yaml;recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/top100-readiness/readiness.csv;site/catalog.json,,,extension-slots;required-values;tpl;capabilities;rbac,,,,,,,,,,rank 452: proof-grade: next80-full:1 revision(s): not-reviewed-for-production: add user-shaped variants before catalog promotion,"mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion
71,falcosecurity/falcosidekick,0.13.1,needs-better-base-variant,not-yet-user-ready,default,recipes/falcosecurity/falcosidekick/0.13.1/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,default render=pass confighub=pass local=pass gitops=missing live-parity=missing two-cluster=missing,recipes/falcosecurity/falcosidekick/0.13.1/revisions/default/r001/variant-revision.yaml,recipes/falcosecurity/falcosidekick/0.13.1,packages/falcosecurity/falcosidekick/0.13.1,partial,recipes/falcosecurity/falcosidekick/0.13.1/source-lock.yaml;recipes/falcosecurity/falcosidekick/0.13.1/CATALOG.md;recipes/falcosecurity/falcosidekick/0.13.1/revisions/default/r001/variant-revision.yaml;recipes/falcosecurity/falcosidekick/0.13.1/helm-pain-report.yaml;recipes/falcosecurity/falcosidekick/0.13.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/falcosecurity/falcosidekick/0.13.1/value-model.yaml;recipes/falcosecurity/falcosidekick/0.13.1/helm-plan.yaml;recipes/falcosecurity/falcosidekick/0.13.1/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,existing-secret;extension-slots;required-values;capabilities;rbac;storage,,,,,,,,,,rank 499: proof-grade: next80-full:1 revision(s): not-reviewed-for-production: add user-shaped variants before catalog promotion,"an existing Secret for some bases (buildable — not yet run); a StorageClass / storage decision; mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion
72,aqua/trivy-operator,0.32.1,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,default,recipes/aqua/trivy-operator/0.32.1/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 2/2)",default;no-crds,default render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass; no-crds render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass,recipes/aqua/trivy-operator/0.32.1/revisions/default/r001/variant-revision.yaml;recipes/aqua/trivy-operator/0.32.1/revisions/no-crds/r001/variant-revision.yaml,recipes/aqua/trivy-operator/0.32.1,packages/aqua/trivy-operator/0.32.1,partial,recipes/aqua/trivy-operator/0.32.1/source-lock.yaml;recipes/aqua/trivy-operator/0.32.1/CATALOG.md;recipes/aqua/trivy-operator/0.32.1/revisions/default/r001/variant-revision.yaml;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml;recipes/aqua/trivy-operator/0.32.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/aqua/trivy-operator/0.32.1/value-model.yaml;recipes/aqua/trivy-operator/0.32.1/helm-plan.yaml;recipes/aqua/trivy-operator/0.32.1/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,crds;existing-secret;extension-slots,,,,,,,runs/live-helm-confighub-compare/aqua-trivy-operator-default/receipt.yaml;runs/live-helm-confighub-compare/aqua-trivy-operator-no-crds/receipt.yaml,,,,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review
73,argo-cd/argo-events,2.4.21,works-with-operator-review,not-yet-public-catalog-proof-ready,default,recipes/argo-cd/argo-events/2.4.21/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 2/2)",default;no-crds,default render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass; no-crds render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass,recipes/argo-cd/argo-events/2.4.21/revisions/default/r001/variant-revision.yaml;recipes/argo-cd/argo-events/2.4.21/revisions/no-crds/r001/variant-revision.yaml,recipes/argo-cd/argo-events/2.4.21,packages/argo-cd/argo-events/2.4.21,partial,recipes/argo-cd/argo-events/2.4.21/source-lock.yaml;recipes/argo-cd/argo-events/2.4.21/CATALOG.md;recipes/argo-cd/argo-events/2.4.21/revisions/default/r001/variant-revision.yaml;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml;recipes/argo-cd/argo-events/2.4.21/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/argo-cd/argo-events/2.4.21/value-model.yaml;recipes/argo-cd/argo-events/2.4.21/helm-plan.yaml;recipes/argo-cd/argo-events/2.4.21/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,crds;extension-slots,,,,,,,runs/live-helm-confighub-compare/argo-cd-argo-events-default/receipt.yaml;runs/live-helm-confighub-compare/argo-cd-argo-events-no-crds/receipt.yaml,,,,a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review
74,argo-cd/argo-rollouts,2.40.9,works-with-operator-review,not-yet-public-catalog-proof-ready,default,recipes/argo-cd/argo-rollouts/2.40.9/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 2/2)",default;no-crds,default render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass; no-crds render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass,recipes/argo-cd/argo-rollouts/2.40.9/revisions/default/r001/variant-revision.yaml;recipes/argo-cd/argo-rollouts/2.40.9/revisions/no-crds/r001/variant-revision.yaml,recipes/argo-cd/argo-rollouts/2.40.9,packages/argo-cd/argo-rollouts/2.40.9,partial,recipes/argo-cd/argo-rollouts/2.40.9/source-lock.yaml;recipes/argo-cd/argo-rollouts/2.40.9/CATALOG.md;recipes/argo-cd/argo-rollouts/2.40.9/revisions/default/r001/variant-revision.yaml;recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml;recipes/argo-cd/argo-rollouts/2.40.9/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/argo-cd/argo-rollouts/2.40.9/value-model.yaml;recipes/argo-cd/argo-rollouts/2.40.9/helm-plan.yaml;recipes/argo-cd/argo-rollouts/2.40.9/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,crds;extension-slots,,,,,,,runs/live-helm-confighub-compare/argo-cd-argo-rollouts-default/receipt.yaml;runs/live-helm-confighub-compare/argo-cd-argo-rollouts-no-crds/receipt.yaml,,,,a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review
75,argo-cd/argo-workflows,1.0.14,works-with-operator-review,not-yet-public-catalog-proof-ready,minimal-crds,recipes/argo-cd/argo-workflows/1.0.14/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 3/3, local live 1/3, live parity 1/3)",controller-default-reviewed;default;minimal-crds,controller-default-reviewed render=pass confighub=pass local=blocked gitops=missing live-parity=missing two-cluster=missing; default render=pass confighub=pass local=blocked gitops=missing live-parity=missing two-cluster=missing; minimal-crds render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass,recipes/argo-cd/argo-workflows/1.0.14/revisions/controller-default-reviewed/r001/variant-revision.yaml;recipes/argo-cd/argo-workflows/1.0.14/revisions/default/r001/variant-revision.yaml;recipes/argo-cd/argo-workflows/1.0.14/revisions/minimal-crds/r001/variant-revision.yaml,recipes/argo-cd/argo-workflows/1.0.14,packages/argo-cd/argo-workflows/1.0.14,partial,recipes/argo-cd/argo-workflows/1.0.14/source-lock.yaml;recipes/argo-cd/argo-workflows/1.0.14/CATALOG.md;recipes/argo-cd/argo-workflows/1.0.14/revisions/controller-default-reviewed/r001/variant-revision.yaml;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml;recipes/argo-cd/argo-workflows/1.0.14/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/argo-cd/argo-workflows/1.0.14/value-model.yaml;recipes/argo-cd/argo-workflows/1.0.14/helm-plan.yaml;recipes/argo-cd/argo-workflows/1.0.14/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,extension-slots,,,,,,,runs/live-helm-confighub-compare/argo-cd-argo-workflows-minimal-crds/receipt.yaml,,,,nothing beyond a cluster and namespace,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,run catalog promotion review
76,argo-cd/argocd-image-updater,1.2.2,needs-better-base-variant,not-yet-user-ready,default,recipes/argo-cd/argocd-image-updater/1.2.2/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,default render=pass confighub=pass local=pass gitops=missing live-parity=missing two-cluster=pass,recipes/argo-cd/argocd-image-updater/1.2.2/revisions/default/r001/variant-revision.yaml,recipes/argo-cd/argocd-image-updater/1.2.2,packages/argo-cd/argocd-image-updater/1.2.2,partial,recipes/argo-cd/argocd-image-updater/1.2.2/source-lock.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/CATALOG.md;recipes/argo-cd/argocd-image-updater/1.2.2/revisions/default/r001/variant-revision.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/argo-cd/argocd-image-updater/1.2.2/value-model.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/helm-plan.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,crds;existing-secret;extension-slots,,,,,,,,,,,"an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base); your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion
77,autoscaler/cluster-autoscaler,9.57.0,works-with-operator-review,not-yet-public-catalog-proof-ready,controller-default-reviewed,recipes/autoscaler/cluster-autoscaler/9.57.0/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 1/2)",controller-default-reviewed;default,controller-default-reviewed render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=missing; default render=pass confighub=pass local=pass gitops=missing live-parity=missing two-cluster=watch,recipes/autoscaler/cluster-autoscaler/9.57.0/revisions/controller-default-reviewed/r001/variant-revision.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/revisions/default/r001/variant-revision.yaml,recipes/autoscaler/cluster-autoscaler/9.57.0,packages/autoscaler/cluster-autoscaler/9.57.0,partial,recipes/autoscaler/cluster-autoscaler/9.57.0/source-lock.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/CATALOG.md;recipes/autoscaler/cluster-autoscaler/9.57.0/revisions/controller-default-reviewed/r001/variant-revision.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/autoscaler/cluster-autoscaler/9.57.0/value-model.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-plan.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,extension-slots,,,,,,,runs/live-helm-confighub-compare/autoscaler-cluster-autoscaler-controller-default-reviewed/receipt.yaml,,,,nothing beyond a cluster and namespace,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,run catalog promotion review
78,autoscaler/vertical-pod-autoscaler,0.9.0,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,default,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",default;no-crds,default render=pass confighub=pass local=blocked gitops=missing live-parity=missing two-cluster=pass; no-crds render=pass confighub=pass local=blocked gitops=missing live-parity=missing two-cluster=pass,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/revisions/default/r001/variant-revision.yaml;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/revisions/no-crds/r001/variant-revision.yaml,recipes/autoscaler/vertical-pod-autoscaler/0.9.0,packages/autoscaler/vertical-pod-autoscaler/0.9.0,partial,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/source-lock.yaml;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/CATALOG.md;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/revisions/default/r001/variant-revision.yaml;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/helm-pain-report.yaml;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/value-model.yaml;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/helm-plan.yaml;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,crds;existing-secret;extension-slots,,,,,,,,,,,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review
79,bitnami/opensearch,2.0.10,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,default,recipes/bitnami/opensearch/2.0.10/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",default;ha,default render=pass confighub=pass local=fail gitops=missing live-parity=missing two-cluster=missing; ha render=pass confighub=pass local=fail gitops=missing live-parity=missing two-cluster=missing,recipes/bitnami/opensearch/2.0.10/revisions/default/r001/variant-revision.yaml;recipes/bitnami/opensearch/2.0.10/revisions/ha/r001/variant-revision.yaml,recipes/bitnami/opensearch/2.0.10,packages/bitnami/opensearch/2.0.10,partial,recipes/bitnami/opensearch/2.0.10/source-lock.yaml;recipes/bitnami/opensearch/2.0.10/CATALOG.md;recipes/bitnami/opensearch/2.0.10/revisions/default/r001/variant-revision.yaml;recipes/bitnami/opensearch/2.0.10/helm-pain-report.yaml;recipes/bitnami/opensearch/2.0.10/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/bitnami/opensearch/2.0.10/value-model.yaml;recipes/bitnami/opensearch/2.0.10/helm-plan.yaml;recipes/bitnami/opensearch/2.0.10/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/top100-readiness/readiness.csv;site/catalog.json,,,existing-secret;extension-slots,,,,,,,,,,,an existing Secret for some bases (buildable — not yet run),exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,run catalog promotion review
80,crossplane-stable/crossplane,2.3.1,needs-better-base-variant,not-yet-user-ready,default,recipes/crossplane-stable/crossplane/2.3.1/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 1/1)",default,default render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=missing,recipes/crossplane-stable/crossplane/2.3.1/revisions/default/r001/variant-revision.yaml,recipes/crossplane-stable/crossplane/2.3.1,packages/crossplane-stable/crossplane/2.3.1,partial,recipes/crossplane-stable/crossplane/2.3.1/source-lock.yaml;recipes/crossplane-stable/crossplane/2.3.1/CATALOG.md;recipes/crossplane-stable/crossplane/2.3.1/revisions/default/r001/variant-revision.yaml;recipes/crossplane-stable/crossplane/2.3.1/helm-pain-report.yaml;recipes/crossplane-stable/crossplane/2.3.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/crossplane-stable/crossplane/2.3.1/value-model.yaml;recipes/crossplane-stable/crossplane/2.3.1/helm-plan.yaml;recipes/crossplane-stable/crossplane/2.3.1/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,existing-secret;extension-slots,,,,,,,runs/live-helm-confighub-compare/crossplane-stable-crossplane-default/receipt.yaml,,,,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion
81,grafana/promtail,6.17.1,needs-better-base-variant,not-yet-user-ready,default,recipes/grafana/promtail/6.17.1/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,default render=pass confighub=pass local=pass gitops=missing live-parity=missing two-cluster=missing,recipes/grafana/promtail/6.17.1/revisions/default/r001/variant-revision.yaml,recipes/grafana/promtail/6.17.1,packages/grafana/promtail/6.17.1,partial,recipes/grafana/promtail/6.17.1/source-lock.yaml;recipes/grafana/promtail/6.17.1/CATALOG.md;recipes/grafana/promtail/6.17.1/revisions/default/r001/variant-revision.yaml;recipes/grafana/promtail/6.17.1/helm-pain-report.yaml;recipes/grafana/promtail/6.17.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/grafana/promtail/6.17.1/value-model.yaml;recipes/grafana/promtail/6.17.1/helm-plan.yaml;recipes/grafana/promtail/6.17.1/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,existing-secret;extension-slots,,,,,,,,,,,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion
82,grafana/rollout-operator,0.49.0,works-with-operator-review,not-yet-public-catalog-proof-ready,default,recipes/grafana/rollout-operator/0.49.0/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 1/2, live parity 0/2)",default;no-crds,default render=pass confighub=pass local=pass gitops=missing live-parity=missing two-cluster=missing; no-crds render=pass confighub=pass local=fail gitops=missing live-parity=missing two-cluster=missing,recipes/grafana/rollout-operator/0.49.0/revisions/default/r001/variant-revision.yaml;recipes/grafana/rollout-operator/0.49.0/revisions/no-crds/r001/variant-revision.yaml,recipes/grafana/rollout-operator/0.49.0,packages/grafana/rollout-operator/0.49.0,partial,recipes/grafana/rollout-operator/0.49.0/source-lock.yaml;recipes/grafana/rollout-operator/0.49.0/CATALOG.md;recipes/grafana/rollout-operator/0.49.0/revisions/default/r001/variant-revision.yaml;recipes/grafana/rollout-operator/0.49.0/helm-pain-report.yaml;recipes/grafana/rollout-operator/0.49.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/grafana/rollout-operator/0.49.0/value-model.yaml;recipes/grafana/rollout-operator/0.49.0/helm-plan.yaml;recipes/grafana/rollout-operator/0.49.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,crds;extension-slots,,,,,,,,,,,a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review
83,haproxytech/kubernetes-ingress,1.52.0,needs-better-base-variant,not-yet-user-ready,default,recipes/haproxytech/kubernetes-ingress/1.52.0/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,default render=pass confighub=pass local=pass gitops=missing live-parity=missing two-cluster=missing,recipes/haproxytech/kubernetes-ingress/1.52.0/revisions/default/r001/variant-revision.yaml,recipes/haproxytech/kubernetes-ingress/1.52.0,packages/haproxytech/kubernetes-ingress/1.52.0,partial,recipes/haproxytech/kubernetes-ingress/1.52.0/source-lock.yaml;recipes/haproxytech/kubernetes-ingress/1.52.0/CATALOG.md;recipes/haproxytech/kubernetes-ingress/1.52.0/revisions/default/r001/variant-revision.yaml;recipes/haproxytech/kubernetes-ingress/1.52.0/helm-pain-report.yaml;recipes/haproxytech/kubernetes-ingress/1.52.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/haproxytech/kubernetes-ingress/1.52.0/value-model.yaml;recipes/haproxytech/kubernetes-ingress/1.52.0/helm-plan.yaml;recipes/haproxytech/kubernetes-ingress/1.52.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,existing-secret;extension-slots,,,,,,,,,,,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion
84,istio/gateway,1.30.0,works-with-operator-review,not-yet-public-catalog-proof-ready,default,recipes/istio/gateway/1.30.0/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",controller-default-reviewed;default,controller-default-reviewed render=pass confighub=pass local=blocked gitops=missing live-parity=missing two-cluster=missing; default render=pass confighub=pass local=blocked gitops=missing live-parity=missing two-cluster=missing,recipes/istio/gateway/1.30.0/revisions/controller-default-reviewed/r001/variant-revision.yaml;recipes/istio/gateway/1.30.0/revisions/default/r001/variant-revision.yaml,recipes/istio/gateway/1.30.0,packages/istio/gateway/1.30.0,partial,recipes/istio/gateway/1.30.0/source-lock.yaml;recipes/istio/gateway/1.30.0/CATALOG.md;recipes/istio/gateway/1.30.0/revisions/controller-default-reviewed/r001/variant-revision.yaml;recipes/istio/gateway/1.30.0/helm-pain-report.yaml;recipes/istio/gateway/1.30.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/istio/gateway/1.30.0/value-model.yaml;recipes/istio/gateway/1.30.0/helm-plan.yaml;recipes/istio/gateway/1.30.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/top100-readiness/readiness.csv;site/catalog.json,,,none-flagged,,,,,,,,,,,nothing beyond a cluster and namespace,exact rendered objects with render parity and receipts,run catalog promotion review
85,istio/istiod,1.30.0,needs-better-base-variant,not-yet-user-ready,default,recipes/istio/istiod/1.30.0/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default,default render=pass confighub=pass local=fail gitops=missing live-parity=missing two-cluster=missing,recipes/istio/istiod/1.30.0/revisions/default/r001/variant-revision.yaml,recipes/istio/istiod/1.30.0,packages/istio/istiod/1.30.0,partial,recipes/istio/istiod/1.30.0/source-lock.yaml;recipes/istio/istiod/1.30.0/CATALOG.md;recipes/istio/istiod/1.30.0/revisions/default/r001/variant-revision.yaml;recipes/istio/istiod/1.30.0/helm-pain-report.yaml;recipes/istio/istiod/1.30.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/istio/istiod/1.30.0/value-model.yaml;recipes/istio/istiod/1.30.0/helm-plan.yaml;recipes/istio/istiod/1.30.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/top100-readiness/readiness.csv;site/catalog.json,,,existing-secret;extension-slots,,,,,,,,,,,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion
86,jetstack/cert-manager-csi-driver,v0.14.0,needs-better-base-variant,not-yet-user-ready,default,recipes/jetstack/cert-manager-csi-driver/v0.14.0/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,default render=pass confighub=pass local=pass gitops=missing live-parity=missing two-cluster=missing,recipes/jetstack/cert-manager-csi-driver/v0.14.0/revisions/default/r001/variant-revision.yaml,recipes/jetstack/cert-manager-csi-driver/v0.14.0,packages/jetstack/cert-manager-csi-driver/v0.14.0,partial,recipes/jetstack/cert-manager-csi-driver/v0.14.0/source-lock.yaml;recipes/jetstack/cert-manager-csi-driver/v0.14.0/CATALOG.md;recipes/jetstack/cert-manager-csi-driver/v0.14.0/revisions/default/r001/variant-revision.yaml;recipes/jetstack/cert-manager-csi-driver/v0.14.0/helm-pain-report.yaml;recipes/jetstack/cert-manager-csi-driver/v0.14.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/jetstack/cert-manager-csi-driver/v0.14.0/value-model.yaml;recipes/jetstack/cert-manager-csi-driver/v0.14.0/helm-plan.yaml;recipes/jetstack/cert-manager-csi-driver/v0.14.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,none-flagged,,,,,,,,,,,"your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts,add at least one user-shaped variant before catalog promotion
