proof_surface_rank,chart,answer,plain_english,first_action,recommended_base_or_variant,command_or_file,strongest_evidence,render_parity,live_summary,first_promotion_wave,promotion_wave_first_step,promotion_wave_gaps,hard_gap,production_note,catalog_path,helm_pain_report
86,cloudpirates/rabbitmq@0.21.13,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/cloudpirates/rabbitmq/0.21.13/CATALOG.md,render-parity,1/1,local:0/1 gitops:0/1 live-parity:0/1 two-cluster:0/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/cloudpirates/rabbitmq/0.21.13/CATALOG.md,recipes/cloudpirates/rabbitmq/0.21.13/helm-pain-report.yaml
87,cloudpirates/redis@0.34.11,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/cloudpirates/redis/0.34.11/CATALOG.md,render-parity,1/1,local:0/1 gitops:0/1 live-parity:0/1 two-cluster:0/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/cloudpirates/redis/0.34.11/CATALOG.md,recipes/cloudpirates/redis/0.34.11/helm-pain-report.yaml
88,crossplane-stable/crossplane@2.3.1,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/crossplane-stable/crossplane/2.3.1/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/crossplane-stable/crossplane/2.3.1/CATALOG.md,recipes/crossplane-stable/crossplane/2.3.1/helm-pain-report.yaml
89,grafana/promtail@6.17.1,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/grafana/promtail/6.17.1/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/grafana/promtail/6.17.1/CATALOG.md,recipes/grafana/promtail/6.17.1/helm-pain-report.yaml
90,grafana/rollout-operator@0.49.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/grafana/rollout-operator/0.49.0/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:1/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/grafana/rollout-operator/0.49.0/CATALOG.md,recipes/grafana/rollout-operator/0.49.0/helm-pain-report.yaml
91,haproxytech/kubernetes-ingress@1.52.0,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/haproxytech/kubernetes-ingress/1.52.0/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/haproxytech/kubernetes-ingress/1.52.0/CATALOG.md,recipes/haproxytech/kubernetes-ingress/1.52.0/helm-pain-report.yaml
92,istio/gateway@1.30.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/istio/gateway/1.30.0/CATALOG.md,in-confighub-proof,2/2,local:0/2 gitops:0/2 live-parity:0/2 two-cluster:0/2,no,-,-,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/istio/gateway/1.30.0/CATALOG.md,recipes/istio/gateway/1.30.0/helm-pain-report.yaml
93,istio/istiod@1.30.0,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/istio/istiod/1.30.0/CATALOG.md,in-confighub-proof,1/1,local:0/1 gitops:0/1 live-parity:0/1 two-cluster:0/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/istio/istiod/1.30.0/CATALOG.md,recipes/istio/istiod/1.30.0/helm-pain-report.yaml
94,jetstack/cert-manager-csi-driver@v0.14.0,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/jetstack/cert-manager-csi-driver/v0.14.0/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/jetstack/cert-manager-csi-driver/v0.14.0/CATALOG.md,recipes/jetstack/cert-manager-csi-driver/v0.14.0/helm-pain-report.yaml
95,jetstack/trust-manager@v0.22.1,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/jetstack/trust-manager/v0.22.1/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:0/2 gitops:1/2 live-parity:1/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/jetstack/trust-manager/v0.22.1/CATALOG.md,recipes/jetstack/trust-manager/v0.22.1/helm-pain-report.yaml
96,linkerd/linkerd-crds@1.8.0,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/linkerd/linkerd-crds/1.8.0/CATALOG.md,two-cluster-kind-parity,1/1,local:1/1 gitops:0/1 live-parity:0/1 two-cluster:1/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/linkerd/linkerd-crds/1.8.0/CATALOG.md,recipes/linkerd/linkerd-crds/1.8.0/helm-pain-report.yaml
97,minio-operator/tenant@7.1.1,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/minio-operator/tenant/7.1.1/CATALOG.md,two-cluster-kind-parity,1/1,local:1/1 gitops:0/1 live-parity:0/1 two-cluster:1/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/minio-operator/tenant/7.1.1/CATALOG.md,recipes/minio-operator/tenant/7.1.1/helm-pain-report.yaml
98,nats/nack@0.34.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/nats/nack/0.34.0/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:1/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/nats/nack/0.34.0/CATALOG.md,recipes/nats/nack/0.34.0/helm-pain-report.yaml
99,nats/surveyor@0.20.9,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/nats/surveyor/0.20.9/CATALOG.md,in-confighub-proof,2/2,local:0/2 gitops:0/2 live-parity:0/2 two-cluster:0/2,no,-,-,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/nats/surveyor/0.20.9/CATALOG.md,recipes/nats/surveyor/0.20.9/helm-pain-report.yaml
100,nvidia/nvidia-device-plugin@0.19.3,review-needed,The chart needs manual review before a user-facing recommendation is made.,Open top100 readiness and the chart catalog page.,default,recipes/nvidia/nvidia-device-plugin/0.19.3/CATALOG.md,render-parity,3/3,local:0/3 gitops:0/3 live-parity:0/3 two-cluster:0/3,no,-,-,-,No production claim.,recipes/nvidia/nvidia-device-plugin/0.19.3/CATALOG.md,recipes/nvidia/nvidia-device-plugin/0.19.3/helm-pain-report.yaml
101,open-telemetry/opentelemetry-operator@0.114.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/open-telemetry/opentelemetry-operator/0.114.0/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:0/2 gitops:1/2 live-parity:1/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/open-telemetry/opentelemetry-operator/0.114.0/CATALOG.md,recipes/open-telemetry/opentelemetry-operator/0.114.0/helm-pain-report.yaml
102,percona/pg-operator@3.0.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/percona/pg-operator/3.0.0/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/percona/pg-operator/3.0.0/CATALOG.md,recipes/percona/pg-operator/3.0.0/helm-pain-report.yaml
103,percona/psmdb-operator@1.22.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/percona/psmdb-operator/1.22.0/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/percona/psmdb-operator/1.22.0/CATALOG.md,recipes/percona/psmdb-operator/1.22.0/helm-pain-report.yaml
104,rook-release/rook-ceph@v1.19.5,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/rook-release/rook-ceph/v1.19.5/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,no-crds (template-baked CRDs; no clean chart toggle yet),"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/rook-release/rook-ceph/v1.19.5/CATALOG.md,recipes/rook-release/rook-ceph/v1.19.5/helm-pain-report.yaml
105,rook-release/rook-ceph-cluster@v1.19.5,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/rook-release/rook-ceph-cluster/v1.19.5/CATALOG.md,local-kubernetes-live,1/1,local:1/1 gitops:0/1 live-parity:0/1 two-cluster:0/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/rook-release/rook-ceph-cluster/v1.19.5/CATALOG.md,recipes/rook-release/rook-ceph-cluster/v1.19.5/helm-pain-report.yaml
106,sealed-secrets/sealed-secrets@2.18.6,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/sealed-secrets/sealed-secrets/2.18.6/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/sealed-secrets/sealed-secrets/2.18.6/CATALOG.md,recipes/sealed-secrets/sealed-secrets/2.18.6/helm-pain-report.yaml
107,velero/velero@12.0.1,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/velero/velero/12.0.1/CATALOG.md,in-confighub-proof,2/2,local:0/2 gitops:0/2 live-parity:0/2 two-cluster:0/2,no,-,-,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/velero/velero/12.0.1/CATALOG.md,recipes/velero/velero/12.0.1/helm-pain-report.yaml
108,vm/victoria-logs-single@0.12.5,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/vm/victoria-logs-single/0.12.5/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/vm/victoria-logs-single/0.12.5/CATALOG.md,recipes/vm/victoria-logs-single/0.12.5/helm-pain-report.yaml
109,vm/victoria-metrics-single@0.39.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/vm/victoria-metrics-single/0.39.0/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; stateful storage and rollback policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/vm/victoria-metrics-single/0.39.0/CATALOG.md,recipes/vm/victoria-metrics-single/0.39.0/helm-pain-report.yaml
