rank,chart,source_version,current_recipe_version,proof_match_basis,version_match,source_status,recipe_status,package_status,variant_status,proof_status,catalog_status,production_readiness,supported_variants,next_action,not_yet_enabled,source_features,recipe_path,package_path
169,dagster/dagster,1.13.6,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
170,netdata/netdata,3.7.165,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities;cluster-rbac;stateful-storage,,
171,onepassword-connect/connect,2.4.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;tpl;capabilities;hooks;crds;cluster-rbac,,
172,kong-z/graylog,3.0.21,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
173,aws-karpenter/karpenter,1.12.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities;crds;cluster-rbac,,
174,deliveryhero/node-problem-detector,2.4.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),capabilities;cluster-rbac,,
175,fluent/fluentd,0.5.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;capabilities;cluster-rbac;stateful-storage,,
176,minio-official/minio,5.4.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
177,openfaas/openfaas,15.0.6,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;capabilities;crds;cluster-rbac;stateful-storage,,
178,smallstep/step-certificates,1.30.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),capabilities;cluster-rbac,,
179,jaegertracing/jaeger-operator,2.57.0,2.57.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),crds;webhooks,recipes/jaegertracing/jaeger-operator/2.57.0/recipe.yaml,packages/jaegertracing/jaeger-operator/2.57.0
180,bitnami/cert-manager,1.5.14,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks,,
181,docker-postfix/mail,5.1.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;tpl;capabilities;stateful-storage,,
182,bitnami/memcached,8.5.5,8.5.5,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;stateful-storage,recipes/bitnami/memcached/8.5.5/recipe.yaml,packages/bitnami/memcached/8.5.5
183,prometheus-community/prometheus-elasticsearch-exporter,7.2.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities,,
184,fluxcd-community/flux2,2.18.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;hooks;cluster-rbac,,
185,enapter/keydb,0.48.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;stateful-storage,,
186,strimzi/strimzi-kafka-operator,1.0.0,1.0.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;capabilities;crds;cluster-rbac,recipes/strimzi/strimzi-kafka-operator/1.0.0/recipe.yaml,packages/strimzi/strimzi-kafka-operator/1.0.0
187,strimzi-kafka-operator/strimzi-kafka-operator,1.0.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities;crds;cluster-rbac,,
188,gissilabs/vaultwarden,1.4.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;stateful-storage,,
189,drone/drone,0.6.5,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),capabilities;stateful-storage,,
190,opencost/opencost,2.5.20,2.5.21,exact-chart-ref,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,review source/current-version drift and refresh recipe if needed,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;capabilities;cluster-rbac;stateful-storage,recipes/opencost/opencost/2.5.21/recipe.yaml,packages/opencost/opencost/2.5.21
191,policy-reporter/policy-reporter,3.7.4,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;tpl;capabilities;cluster-rbac,,
192,hashicorp/vault-secrets-operator,1.4.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),hooks;crds;cluster-rbac,,
193,bitnami/cassandra,12.3.11,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
194,cloudpirates-keycloak/keycloak,0.21.9,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
195,open-metadata/openmetadata,1.12.8,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities;cluster-rbac,,
196,zitadel/zitadel,10.0.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
197,bitnami/common,2.40.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities,,
198,bitnami/discourse,17.0.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
199,linkerd2/linkerd-viz,30.12.11,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;cluster-rbac;webhooks;stateful-storage,,
200,bitnami/valkey,6.0.2,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
201,netbox/netbox,8.2.17,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
202,redpanda-data/redpanda,26.1.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities,,
203,gatekeeper/gatekeeper,3.23.0-beta.0,3.22.2,exact-chart-ref,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,review source/current-version drift and refresh recipe if needed,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),capabilities;hooks;crds;cluster-rbac;webhooks,recipes/gatekeeper/gatekeeper/3.22.2/recipe.yaml,packages/gatekeeper/gatekeeper/3.22.2
204,rocketchat-server/rocketchat,6.32.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,,
205,bitnami/contour,21.1.4,21.1.4,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac,recipes/bitnami/contour/21.1.4/recipe.yaml,packages/bitnami/contour/21.1.4
206,gitlab/gitlab-agent,2.27.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;cluster-rbac;webhooks,,
207,linkerd2/linkerd-control-plane,1.16.11,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;tpl;cluster-rbac;webhooks,,
208,grafana-community/loki,17.1.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks;stateful-storage,,
209,bitnami/mongodb-sharded,9.4.12,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
210,helm-openldap/openldap-stack-ha,4.3.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
211,cloudpirates-postgres/postgres,0.19.5,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
212,piraeus-charts/snapshot-controller,5.0.4,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;cluster-rbac,,
213,valkey/valkey,0.9.4,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;stateful-storage,,
214,victoriametrics/victoria-metrics-cluster,0.42.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities;stateful-storage,,
215,kyverno/kyverno-policies,3.8.1-rc.2,3.8.0,exact-chart-ref,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,review source/current-version drift and refresh recipe if needed,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),lookup;tpl,recipes/kyverno/kyverno-policies/3.8.0/recipe.yaml,packages/kyverno/kyverno-policies/3.8.0
216,zammad/zammad,16.2.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;hooks;stateful-storage,,
217,kasten/k10,8.5.9,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;cluster-rbac;webhooks;stateful-storage,,
218,bitnami/kibana,12.1.10,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
219,mailu/mailu,2.7.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
220,crowdsec/crowdsec,0.24.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;stateful-storage,,
221,influxdata/influxdb2,2.1.2,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
222,ceph-csi/ceph-csi-cephfs,3.16.2,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;cluster-rbac,,
223,ceph-csi/ceph-csi-rbd,3.16.2,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;cluster-rbac,,
224,atlassian-data-center/confluence,2.0.13,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,,
225,apache-solr/solr-operator,0.9.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),crds;cluster-rbac,,
226,cert-manager/trust-manager,0.22.1,v0.22.1,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,,generated-facts;tpl;cluster-rbac;webhooks,recipes/jetstack/trust-manager/v0.22.1/recipe.yaml,packages/jetstack/trust-manager/v0.22.1
227,bitnami/argo-cd,11.0.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;stateful-storage,,
228,datahub/datahub,1.0.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities,,
229,bitnami/jenkins,13.6.17,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
230,bitnami/kube-state-metrics,5.1.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;cluster-rbac,,
231,linkerd2/linkerd-crds,1.8.0,1.8.0,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,,generated-facts,recipes/linkerd/linkerd-crds/1.8.0/recipe.yaml,packages/linkerd/linkerd-crds/1.8.0
232,kubecost/cost-analyzer,2.9.6,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;hooks;crds;cluster-rbac;webhooks;stateful-storage,,
233,podinfo/podinfo,6.12.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts,,
234,portainer/portainer,239.2.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),capabilities;cluster-rbac,,
235,camunda/camunda-platform,15.0.0-alpha1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
236,chaos-mesh/chaos-mesh,2.8.2,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks;stateful-storage,,
237,wiremind/clamav,3.7.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),capabilities;stateful-storage,,
238,bootc/netbox,4.1.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
239,opsmx/spinnaker,2.2.7,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,,
240,loft/vcluster,0.35.0-next.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;tpl;capabilities;cluster-rbac;stateful-storage,,
241,atlantis/atlantis,6.4.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;hooks;stateful-storage,,
242,grafana/grafana-agent,0.44.2,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities;crds;cluster-rbac;stateful-storage,,
243,mariadb-operator/mariadb-operator,26.3.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;cluster-rbac;webhooks,,
244,milvus/milvus,4.0.31,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;hooks;cluster-rbac;stateful-storage,,
245,community-charts/cloudflared,2.2.7,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),plain-ish,,
246,cockroachdb/cockroachdb,20.0.5,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;capabilities;hooks;cluster-rbac;stateful-storage,,
247,containeroo/local-path-provisioner,0.0.37,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),cluster-rbac;stateful-storage,,
248,community-charts/outline,0.7.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
249,prometheus-community/prometheus-mysql-exporter,2.13.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl,,
250,cloudpirates-rabbitmq/rabbitmq,0.21.4,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
251,flagger/flagger,1.43.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;crds;cluster-rbac,,
252,allegroai/clearml,7.14.7,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
253,istio-official/cni,1.30.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),capabilities;cluster-rbac,,
254,coder-v2/coder,2.34.0-rc.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl,,
255,datadog/datadog-operator,2.23.0-dev.5,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;capabilities;cluster-rbac,,
256,codefresh-gitops-runtime/gitops-runtime,0.29.11,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;hooks;crds;cluster-rbac;stateful-storage,,
257,weblate/weblate,0.5.28,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
258,csi-driver-nfs/csi-driver-nfs,4.13.2,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),cluster-rbac,,
259,bitnami/jupyterhub,10.0.5,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
260,opensearch-project-helm-charts/opensearch-dashboards,3.6.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities,,
261,emberstack/reflector,10.0.45,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;capabilities;cluster-rbac,,
262,bitnami/tomcat,13.5.4,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
263,sonatype/nxrm-ha,92.2.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),cluster-rbac;stateful-storage,,
264,openfga/openfga,0.3.5,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
265,penpot/penpot,0.43.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
266,semaphoreui/semaphore,16.2.2,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;hooks;stateful-storage,,
267,bitnami/consul,11.4.32,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
268,cowboysysop/flowise,6.0.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;hooks;stateful-storage,,
269,bitnami/grafana-loki,6.0.6,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;stateful-storage,,
