chart,version,user_status,support_claim,evidence_depth,recommended_base,prerequisites,quirks_disposition,skill,cub_scout_check,next_action,try_it
percona/pxc-operator,1.19.1,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 1/2, live parity 1/2)",default,a CRD ownership choice (crds vs no-crds base); target facts at variant time,crds;extension-slots;install-vs-upgrade-divergence;lookup;rbac — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,target-facts-and-lifecycle (docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/percona/pxc-operator/1.19.1/CATALOG.md
bitnami/apache,11.4.29,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default,"an existing Secret for some bases (NOT built - chart ships no Secret toggle); target facts at variant time; your wanted install shape, until a reviewed base exists",generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;lookup;generated-facts;tpl;capabilities — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/bitnami/apache/11.4.29/CATALOG.md
grafana/pyroscope,2.0.2,not-ready-yet,decision-needed-first,"proof-grade-with-named-limitation (render parity 3/3, local live 2/3, live parity 0/3)",default,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; a CRD ownership choice (crds vs no-crds base); target facts at variant time; mandatory chart inputs; a decision on the named limitation before use,crds;generated-secrets;existing-secret;extension-slots;required-values;lookup;generated-facts;tpl;capabilities;rbac;storage — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; CRD handling split into explicit bases; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",review limitation before promotion: existing-secret (chart ships no Secret toggle),recipes/grafana/pyroscope/2.0.2/CATALOG.md
aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default,"mandatory chart inputs; your wanted install shape, until a reviewed base exists",extension-slots;required-values;tpl;capabilities;rbac — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,none (),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/CATALOG.md
falcosecurity/falcosidekick,0.13.1,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"an existing Secret for some bases (buildable — not yet run); a StorageClass / storage decision; mandatory chart inputs; your wanted install shape, until a reviewed base exists",existing-secret;extension-slots;required-values;capabilities;rbac;storage — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,target-facts-and-lifecycle (docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/falcosecurity/falcosidekick/0.13.1/CATALOG.md
aqua/trivy-operator,0.32.1,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 2/2)",default,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),crds;existing-secret;extension-slots — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/aqua/trivy-operator/0.32.1/CATALOG.md
argo-cd/argo-events,2.4.21,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 2/2)",default,a CRD ownership choice (crds vs no-crds base),crds;extension-slots — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/argo-cd/argo-events/2.4.21/CATALOG.md
argo-cd/argo-rollouts,2.40.9,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 2/2)",default,a CRD ownership choice (crds vs no-crds base),crds;extension-slots — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/argo-cd/argo-rollouts/2.40.9/CATALOG.md
argo-cd/argo-workflows,1.0.14,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 3/3, local live 1/3, live parity 1/3)",minimal-crds,nothing beyond a cluster and namespace,extension-slots — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/argo-cd/argo-workflows/1.0.14/CATALOG.md
argo-cd/argocd-image-updater,1.2.2,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base); your wanted install shape, until a reviewed base exists",crds;existing-secret;extension-slots — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/argo-cd/argocd-image-updater/1.2.2/CATALOG.md
autoscaler/cluster-autoscaler,9.57.0,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 1/2)",controller-default-reviewed,nothing beyond a cluster and namespace,extension-slots — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/autoscaler/cluster-autoscaler/9.57.0/CATALOG.md
autoscaler/vertical-pod-autoscaler,0.9.0,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",default,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),crds;existing-secret;extension-slots — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/CATALOG.md
bitnami/opensearch,2.0.10,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",default,an existing Secret for some bases (buildable — not yet run),existing-secret;extension-slots — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,none (),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/bitnami/opensearch/2.0.10/CATALOG.md
crossplane-stable/crossplane,2.3.1,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 1/1)",default,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",existing-secret;extension-slots — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/crossplane-stable/crossplane/2.3.1/CATALOG.md
grafana/promtail,6.17.1,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",existing-secret;extension-slots — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/grafana/promtail/6.17.1/CATALOG.md
grafana/rollout-operator,0.49.0,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 1/2, live parity 0/2)",default,a CRD ownership choice (crds vs no-crds base),crds;extension-slots — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/grafana/rollout-operator/0.49.0/CATALOG.md
haproxytech/kubernetes-ingress,1.52.0,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",existing-secret;extension-slots — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/haproxytech/kubernetes-ingress/1.52.0/CATALOG.md
istio/gateway,1.30.0,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",default,nothing beyond a cluster and namespace,none-flagged — exact rendered objects with render parity and receipts,none (),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/istio/gateway/1.30.0/CATALOG.md
istio/istiod,1.30.0,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",existing-secret;extension-slots — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,none (),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/istio/istiod/1.30.0/CATALOG.md
jetstack/cert-manager-csi-driver,v0.14.0,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"your wanted install shape, until a reviewed base exists",none-flagged — exact rendered objects with render parity and receipts,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/jetstack/cert-manager-csi-driver/v0.14.0/CATALOG.md
jetstack/trust-manager,v0.22.1,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",default,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),crds;existing-secret;extension-slots — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,none (),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/jetstack/trust-manager/v0.22.1/CATALOG.md
linkerd/linkerd-crds,1.8.0,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base); your wanted install shape, until a reviewed base exists",crds;existing-secret — exact rendered objects with render parity and receipts; CRD handling split into explicit bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/linkerd/linkerd-crds/1.8.0/CATALOG.md
minio-operator/tenant,7.1.1,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",existing-secret;extension-slots — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/minio-operator/tenant/7.1.1/CATALOG.md
nats/nack,0.34.0,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",default,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),crds;existing-secret;extension-slots — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/nats/nack/0.34.0/CATALOG.md
nats/surveyor,0.20.9,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",default,nothing beyond a cluster and namespace,extension-slots — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,none (),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/nats/surveyor/0.20.9/CATALOG.md
open-telemetry/opentelemetry-operator,0.114.0,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",default,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),crds;existing-secret;extension-slots — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/open-telemetry/opentelemetry-operator/0.114.0/CATALOG.md
percona/pg-operator,3.0.0,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 1/2)",default,a CRD ownership choice (crds vs no-crds base),crds — exact rendered objects with render parity and receipts; CRD handling split into explicit bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/percona/pg-operator/3.0.0/CATALOG.md
percona/psmdb-operator,1.22.0,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 1/2)",default,a CRD ownership choice (crds vs no-crds base),crds — exact rendered objects with render parity and receipts; CRD handling split into explicit bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/percona/psmdb-operator/1.22.0/CATALOG.md
rook-release/rook-ceph,v1.19.5,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"a CRD ownership choice (crds vs no-crds base); your wanted install shape, until a reviewed base exists",crds — exact rendered objects with render parity and receipts; CRD handling split into explicit bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/rook-release/rook-ceph/v1.19.5/CATALOG.md
rook-release/rook-ceph-cluster,v1.19.5,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",existing-secret;extension-slots — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/rook-release/rook-ceph-cluster/v1.19.5/CATALOG.md
sealed-secrets/sealed-secrets,2.18.6,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 1/2)",default,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),crds;existing-secret;extension-slots — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/sealed-secrets/sealed-secrets/2.18.6/CATALOG.md
velero/velero,12.0.1,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",default,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),crds;existing-secret;extension-slots — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,none (),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/velero/velero/12.0.1/CATALOG.md
vm/victoria-logs-single,0.12.5,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",existing-secret;extension-slots — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/vm/victoria-logs-single/0.12.5/CATALOG.md
vm/victoria-metrics-single,0.39.0,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",default,nothing beyond a cluster and namespace,extension-slots — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/vm/victoria-metrics-single/0.39.0/CATALOG.md
